customer_id,name,email,registration_date,country,age,gender,created_at
1,Larry Gibson,michael27@example.org,2024-06-27,New Zealand,73,Other,2026-02-12 12:59:12
2,Craig Young,wjackson@example.com,2022-09-09,China,72,M,2026-02-12 12:59:12
3,Robert Flores,atkinsonkevin@example.com,2023-11-01,Gambia,24,Other,2026-02-12 12:59:12
4,Jennifer Bryant,denise66@example.net,2024-06-03,North Macedonia,35,F,2026-02-12 12:59:12
5,Joseph Munoz MD,natalie47@example.org,2023-10-27,Comoros,50,Other,2026-02-12 12:59:12
6,Jerry Bryan,burtonjocelyn@example.net,2024-01-31,Spain,33,F,2026-02-12 12:59:12
7,Peggy Alexander,diana79@example.com,2022-05-03,Angola,51,F,2026-02-12 12:59:12
8,Lisa Holmes,lopezchristine@example.com,2024-11-21,Kenya,22,M,2026-02-12 12:59:12
9,Bianca David,elizabeth32@example.net,2022-07-24,Georgia,74,Other,2026-02-12 12:59:12
10,Jill Harris,wdiaz@example.com,2022-10-15,Cocos (Keeling) Islands,71,F,2026-02-12 12:59:12
11,Laurie Reed,patrickbaker@example.org,2024-11-05,Ukraine,19,F,2026-02-12 12:59:12
12,Justin Hanson,gregmorton@example.org,2022-10-12,Nigeria,21,F,2026-02-12 12:59:12
13,Ashley Hunter,melissaleonard@example.com,2022-10-02,Egypt,37,M,2026-02-12 12:59:12
14,Amber Gaines,bgarza@example.net,2024-07-05,Namibia,19,M,2026-02-12 12:59:12
15,Jean Parker,craigdorsey@example.net,2023-10-17,Honduras,55,M,2026-02-12 12:59:12
16,Meagan Dudley,hjimenez@example.org,2022-03-30,Iceland,55,Other,2026-02-12 12:59:12
17,Evan Murray,veronica86@example.org,2023-12-09,Saint Martin,58,F,2026-02-12 12:59:12
18,Rebecca Walter,daniellepope@example.com,2023-05-30,Angola,47,Other,2026-02-12 12:59:12
19,Jennifer Hamilton,michael88@example.net,2024-02-09,Gambia,42,M,2026-02-12 12:59:12
20,Charles Duran,johnsoncasey@example.net,2022-09-05,Netherlands Antilles,72,Other,2026-02-12 12:59:12
21,Brian Smith,nixonrenee@example.net,2023-09-22,Bulgaria,29,M,2026-02-12 12:59:12
22,Patrick Russell,christopher80@example.net,2023-01-06,Turks and Caicos Islands,44,F,2026-02-12 12:59:12
23,Samantha Solomon,campbelldeborah@example.com,2023-07-15,Myanmar,50,M,2026-02-12 12:59:12
